id_venda,data_venda,cliente,produto,categoria,regiao,quantidade,preco_unitario
1,2024-01-13,Cliente_018,Mouse,Periféricos,Sudeste,2.0,120.0
2,2024-01-17,Cliente_023,Teclado,Periféricos,Norte,62.0,250.0
3,2024-08-17,Cliente_011, Monitor,Computadores,Nordeste,4.0,1200.0
4,2024-06-21,Cliente_002,Smartphone,Celulares,Centro-Oeste,4.0,2200.0
5,2024-07-12,Cliente_007,Teclado,Periféricos,Sudeste,2.0,250.0
6,2024-05-28,Cliente_027,Notebook,Computadores,Nordeste,4.0,3500.0
7,2024-06-30,Cliente_006,Smartphone,Celulares,Norte,6.0,2200.0
8,2024-03-24,Cliente_011,Mouse,Periféricos,Sudeste,4.0,120.0
9,2024-06-10,Cliente_007,Smartphone,Celulares,Centro-Oeste,1.0,2200.0
10,2024-03-14,Cliente_029,Monitor,Computadores,Norte,8.0,1200.0
11,2024-04-22,Cliente_005,Monitor,Computadores,Sul,6.0,1200.0
12,2024-11-01,Cliente_028,Mouse,Periféricos,Sudeste,7.0,120.0
13,2024-12-15,Cliente_006,Mouse,Periféricos,Centro-Oeste,2.0,120.0
14,2024-09-13,Cliente_017,Notebook,Computadores,Norte,5.0,3500.0
15,DATA INVALIDA,Cliente_011,Smartphone,Celulares,Centro-Oeste,3.0,2200.0
16,2024-07-04,Cliente_003,Notebook,Computadores,Sudeste,2.0,3500.0
17,2024-02-05,Cliente_006,Mouse,Periféricos,Nordeste,8.0,120.0
18,2024-08-04,Cliente_013,Teclado,Periféricos,Nordeste,10.0,250.0
19,2024-08-19,Cliente_008,Monitor,Computadores,Sudeste,9.0,1200.0
20,2024-04-27,Cliente_016,Notebook,Computadores,Sul,1.0,
21,2024-10-19,Cliente_022,Teclado,Periféricos,Centro-Oeste,3.0,250.0
22,2024-07-29,Cliente_013,Tablet,Celulares,Nordeste,7.0,1800.0
23,2024-04-08,Cliente_030,Notebook,Computadores,Sudeste,4.0,3500.0
24,2024-02-20,Cliente_028,Monitor,Computadores,Sul,9.0,1200.0
25,DATA INVALIDA,Cliente_013,Smartphone,Celulares,Nordeste,7.0,2200.0
26,2024-08-04,Cliente_007,Monitor,Computadores,Nordeste,5.0,1200.0
27,2024-10-23,Cliente_030,Smartphone,Celulares,Norte,1.0,2200.0
28,2024-09-17,Cliente_004,Smartphone,Celulares,Norte,1.0,2200.0
29,2024-10-31,Cliente_009,Smartphone,Celulares,Sul,,2200.0
30,2024-05-02,Cliente_030,Mouse,Periféricos,Sudeste,6.0,120.0
31,2024-11-14,Cliente_030,Notebook,Computadores,Nordeste,8.0,3500.0
32,2024-07-08,Cliente_026,Notebook,Computadores,Norte,4.0,3500.0
33,2024-06-02,Cliente_024,Notebook,Computadores,Norte,9.0,3500.0
34,2024-05-24,Cliente_016,Smartphone,Celulares,Nordeste,5.0,2200.0
35,2024-11-20,Cliente_009, Notebook,Computadores,Sul,2.0,3500.0
36,2024-10-09,Cliente_005,Mouse,Periféricos,Norte,8.0,120.0
37,2024-10-25,Cliente_028,Notebook,Computadores,Sudeste,6.0,3500.0
38,2024-12-15,Cliente_020,Tablet,Celulares,Sul,4.0,1800.0
39,2024-03-31,Cliente_026,Smartphone,Celulares,Sul,3.0,
40,2024-12-25,Cliente_015,Tablet,Celulares,Nordeste,3.0,1800.0
41,2024-04-24,Cliente_009,Tablet,Celulares,Nordeste,,1800.0
42,2024-07-23,Cliente_009,Mouse,Periféricos,Sudeste,66.0,120.0
43,2024-08-10,Cliente_029,Notebook,Computadores,Norte,10.0,3500.0
44,2024-01-23,Cliente_024,Smartphone,Celulares,Sul,5.0,
45,2024-02-05,Cliente_029,Tablet,Celulares,Nordeste,7.0,1800.0
46,2024-12-07,Cliente_013,Teclado,Periféricos,Sul,5.0,250.0
47,2024-06-03,Cliente_020,Teclado,Periféricos,Nordeste,10.0,250.0
48,2024-08-14,Cliente_022,Monitor,Computadores,Sudeste,8.0,1200.0
49,2024-12-05,Cliente_008,Tablet,Celulares,Sul,9.0,1800.0
50,2024-01-24,Cliente_021,Smartphone,Celulares,Norte,1.0,2200.0
51,2024-09-10,Cliente_029,Smartphone,Celulares,Sudeste,7.0,2200.0
52,2024-03-31,Cliente_004,Monitor,Computadores,Centro-Oeste,4.0,1200.0
53,2024-12-07,Cliente_027,Smartphone,Celulares,Norte,8.0,2200.0
54,2024-08-16,Cliente_021,Monitor,Computadores,Nordeste,9.0,1200.0
55,2024-11-16,Cliente_029,Teclado,Periféricos,Norte,8.0,250.0
56,2024-03-18,Cliente_018,Notebook,Computadores,Centro-Oeste,3.0,3500.0
57,DATA INVALIDA,Cliente_029,Monitor,Computadores,Norte,1.0,1200.0
58,2024-01-04,Cliente_018,Monitor,Computadores,Norte,8.0,1200.0
59,2024-09-06,Cliente_013, Teclado,Periféricos,Sul,4.0,250.0
60,2024-11-14,Cliente_014,Monitor,Computadores,Sul,3.0,1200.0
61,2024-01-26,Cliente_009,Monitor,Computadores,Centro-Oeste,3.0,1200.0
62,2024-08-28,Cliente_025,Tablet,Celulares,Sudeste,,1800.0
63,2024-04-12,Cliente_007,Notebook,Computadores,Centro-Oeste,4.0,3500.0
64,2024-07-07,Cliente_010,Mouse,Periféricos,Sudeste,5.0,120.0
65,2024-06-08,Cliente_019,Teclado,Periféricos,Sul,1.0,250.0
66,2024-12-16,Cliente_014,Notebook,Computadores,Nordeste,5.0,3500.0
67,2024-11-27,Cliente_021,Notebook,Computadores,Centro-Oeste,9.0,3500.0
68,2024-08-10,Cliente_025,Mouse,Periféricos,Centro-Oeste,3.0,120.0
69,2024-10-30,Cliente_008,Monitor,Computadores,Centro-Oeste,7.0,1200.0
70,2024-12-08,Cliente_026,Teclado,Periféricos,Nordeste,10.0,
71,2024-11-01,Cliente_024, Tablet,Celulares,Centro-Oeste,5.0,1800.0
72,2024-05-03,Cliente_008,Monitor,Computadores,Centro-Oeste,9.0,1200.0
73,2024-06-05,Cliente_018,Mouse,Periféricos,Nordeste,4.0,120.0
74,2024-05-18,Cliente_025,Tablet,Celulares,Sul,8.0,1800.0
75,2024-09-04,Cliente_027,Smartphone,Celulares,Sul,4.0,2200.0
76,2024-07-03,Cliente_018,Tablet,Celulares,Nordeste,4.0,
77,2024-11-22,Cliente_015,Mouse,Periféricos,Nordeste,3.0,120.0
78,2024-05-09,Cliente_021,Smartphone,Celulares,Sudeste,1.0,2200.0
79,2024-10-15,Cliente_020,Smartphone,Celulares,Norte,3.0,2200.0
80,2024-07-13,Cliente_020,Smartphone,Celulares,Sudeste,9.0,2200.0
81,2024-04-16,Cliente_006,Teclado,Periféricos,Sudeste,2.0,250.0
82,2024-12-18,Cliente_015,Monitor,Computadores,Sudeste,8.0,1200.0
83,2024-05-15,Cliente_018,Mouse,Periféricos,Sul,4.0,120.0
84,2024-05-16,Cliente_019,Mouse,Periféricos,Nordeste,3.0,120.0
85,2024-08-27,Cliente_003,Monitor,Computadores,Norte,2.0,1200.0
