id_venda,data_venda,cliente,produto,categoria,tamanho,cor,regiao,canal_venda,forma_pagamento,parcelas,quantidade,preco_unitario,custo_unitario,percentual_desconto,valor_frete,receita_total,mes,trimestre,ano,faixa_receita_item
1,2024-05-20,Cliente_0007,Bermuda Sarja,Moda Masculina,GG,Preto,Norte,Loja Física,Boleto,1,1,99.9,44.96,0.1,0.0,99.9,5,Q2,2024,Baixo Valor
2,2024-11-28,Cliente_0098,Calça Alfaiataria,Moda Feminina,M,Vermelho,Sudeste,App,Cartão de Crédito,4,3,159.9,71.95,0.0,28.18,479.70000000000005,11,Q4,2024,Baixo Valor
3,2024-11-05,Cliente_0227,Chinelo Slim Conforto,Calçados,36,Nude,Nordeste,Loja Física,Boleto,1,2,39.9,17.95,0.0,0.0,79.8,11,Q4,2024,Baixo Valor
4,2024-12-26,Cliente_0091,Mochila Urbana,Acessórios,P,Vermelho,Sul,App,Boleto,1,1,219.9,98.95,0.0,33.01,219.9,12,Q4,2024,Baixo Valor
6,2024-04-27,Cliente_0165,Sandália Salto Bloco,Calçados,44,Azul,Centro-Oeste,App,Pix,1,1,149.9,67.45,0.0,90.77,149.9,4,Q2,2024,Baixo Valor
7,2024-03-12,Cliente_0013,Vestido Estampado Midi,Moda Feminina,GG,Azul,Sudeste,App,Cartão de Crédito,9,2,199.9,89.95,0.0,27.27,399.8,3,Q1,2024,Baixo Valor
8,2024-03-22,Cliente_0030,Vestido Estampado Midi,Moda Feminina,G,Nude,Norte,Loja Física,Cartão de Crédito,11,3,199.9,89.95,0.0,0.0,599.7,3,Q1,2024,Médio Valor
10,2024-03-19,Cliente_0225,Boné Ajustável Aba Curva,Acessórios,G,Vermelho,Norte,E-commerce,Pix,1,1,59.9,26.95,0.28,24.63,59.9,3,Q1,2024,Baixo Valor
11,2024-09-05,Cliente_0238,Camiseta Básica Algodão,Moda Masculina,M,Azul,Norte,App,Boleto,1,1,49.9,22.45,0.0,97.15,49.9,9,Q3,2024,Baixo Valor
12,2024-06-08,Cliente_0002,Calça Alfaiataria,Moda Feminina,M,Branco,Sudeste,E-commerce,Boleto,1,3,159.9,71.95,0.06,67.08,479.70000000000005,6,Q2,2024,Baixo Valor
13,2024-02-04,Cliente_0122,Calça Jeans Casual,Moda Masculina,M,Nude,Sul,Loja Física,Boleto,1,1,189.9,85.45,0.28,0.0,189.9,2,Q1,2024,Baixo Valor
14,2024-04-07,Cliente_0115,Sunga de Praia,Moda Íntima e Praia,P,Preto,Sul,E-commerce,Cartão de Crédito,4,2,69.9,31.46,0.23,35.22,139.8,4,Q2,2024,Baixo Valor
15,2024-05-22,Cliente_0238,Conjunto Lingerie Renda,Moda Íntima e Praia,P,Preto,Sul,E-commerce,Boleto,1,1,119.9,53.96,0.0,97.52,119.9,5,Q2,2024,Baixo Valor
17,2024-04-07,Cliente_0041,Sunga de Praia,Moda Íntima e Praia,P,Preto,Sudeste,Loja Física,Boleto,1,1,69.9,31.46,0.0,0.0,69.9,4,Q2,2024,Baixo Valor
18,2024-04-05,Cliente_0150,Óculos de Sol Aviador,Acessórios,M,Nude,Norte,E-commerce,Boleto,1,1,179.9,80.95,0.0,53.54,179.9,4,Q2,2024,Baixo Valor
19,2024-05-13,Cliente_0145,Óculos de Sol Aviador,Acessórios,G,Vermelho,Sudeste,App,Cartão de Crédito,1,2,179.9,80.95,0.0,69.69,359.8,5,Q2,2024,Baixo Valor
20,2024-04-19,Cliente_0078,Camiseta Básica Algodão,Moda Masculina,G,Branco,Norte,Loja Física,Boleto,1,3,49.9,22.45,0.0,0.0,149.7,4,Q2,2024,Baixo Valor
21,2024-12-07,Cliente_0184,Óculos de Sol Aviador,Acessórios,P,Preto,Nordeste,App,Cartão de Crédito,5,1,179.9,80.95,0.0,68.39,179.9,12,Q4,2024,Baixo Valor
22,2024-11-20,Cliente_0114,Calça Alfaiataria,Moda Feminina,GG,Azul,Norte,App,Cartão de Crédito,11,3,159.9,71.95,0.13,32.93,479.70000000000005,11,Q4,2024,Baixo Valor
23,2024-01-05,Cliente_0094,Conjunto Lingerie Renda,Moda Íntima e Praia,G,Nude,Sudeste,E-commerce,Pix,1,3,119.9,53.96,0.0,23.35,359.70000000000005,1,Q1,2024,Baixo Valor
