cliente,total_gasto,segmento
Cliente_008,69600.0,Ouro
Cliente_028,59220.0,Ouro
Cliente_021,51660.0,Ouro
Cliente_009,46000.0,Ouro
Cliente_029,41570.0,Ouro
Cliente_027,40880.0,Ouro
Cliente_013,40100.0,Ouro
Cliente_007,37000.0,Ouro
Cliente_020,36100.0,Ouro
Cliente_011,35580.0,Ouro
Cliente_016,31060.0,Ouro
Cliente_014,30950.0,Ouro
Cliente_025,23210.0,Ouro
Cliente_015,23160.0,Ouro
Cliente_022,22950.0,Ouro
Cliente_003,22240.0,Ouro
Cliente_012,22040.0,Ouro
Cliente_018,22020.0,Ouro
Cliente_030,19420.0,Ouro
Cliente_023,18600.0,Ouro
Cliente_017,18000.0,Ouro
Cliente_005,16960.0,Ouro
Cliente_006,14900.0,Prata
Cliente_026,14000.0,Prata
Cliente_004,9880.0,Prata
Cliente_024,9600.0,Prata
Cliente_002,9040.0,Prata
Cliente_019,9010.0,Prata
Cliente_010,6600.0,Prata
Cliente_001,1000.0,Bronze
